EmployeeID,DateOfHire,DateOfBirth,Age ,Age Group,Gender,Salary Category,Department,Experience Level,JobTitle,Employment Status,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
1,22-03-2022,10-12-1966,59,Senior,Non-Binary,High,HR,Mid Level,Sales promotion account executive,Active,115,Michelle Dennis,VP,16,5,3,93343.46,832.3,5,7,16,25,6,Recruiter,2.62,Active Employee,Still Working ,No Promotion ,Patrick,11,2,13,No,1,1.45,Low,Non-Diverse,50.26,1152.71,14,Yes,50,6.63
2,11-01-2020,15-12-1965,60,Senior,Non-Binary,High,HR,Mid Level,Sales executive,Terminated,419,Thomas Nelson,Director,16,17,4,73427.36,3257.5,5,3,66,39,7,Referral,2.26,02-02-2021,Retirement,No Promotion ,Patrick,36,4,13,No,2,1.4,Medium,Diverse,97.9,2810.24,23,Yes,50,5.68
3,30-10-2024,06-08-1964,61,Senior,Female,Medium,Marketing,Senior,"Research officer, trade union",Active,241,Miranda Barnes,Director,9,4,5,61139.49,15121.63,7,6,22,49,12,Job Board,4.5,Active Employee,Still Working ,No Promotion ,Thomas G,42,1,18,Yes,5,4.46,Medium,Non-Diverse,78.61,5945.55,39,No,55,8.51
4,18-11-2020,03-05-2001,25,Young,Non-Binary,Medium,Marketing,Fresher,Soil scientist,On Leave,765,Cheryl Kelley,Director,14,11,4,35649.67,6889.36,2,2,54,24,19,Job Board,4.03,Active Employee,Still Working ,25-11-2020,Thomas G,44,4,15,Yes,2,1.09,Medium,Non-Diverse,95.29,7837.52,25,Yes,56,3.34
5,13-05-2023,27-09-1993,32,Mid Age,Non-Binary,Medium,HR,Senior,Automotive engineer,Active,792,Maria Jenkins,VP,4,4,3,57320.06,11421.73,10,7,17,45,12,Recruiter,4.43,Active Employee,Still Working ,05-01-2025,Patrick,25,5,2,Yes,1,3.21,High,Diverse,70.09,1638.29,46,No,57,3.34
6,13-09-2024,28-08-1972,53,Senior,Male,High,Sales,Senior,Race relations officer,Terminated,249,Kristin Kelley,VP,0,12,3,109800.01,18552.54,10,1,73,13,12,Referral,1.84,17-09-2024,None,18-12-2024,Patrick,40,0,7,Yes,2,4.43,Low,Diverse,55.33,9943.64,52,No,57,2.07
7,20-02-2024,19-07-1964,61,Senior,Female,High,IT,Senior,Podiatrist,Terminated,367,Julie Valencia,VP,18,6,1,88873.33,19624.09,9,3,42,5,18,Recruiter,2.24,25-01-2025,Layoff,No Promotion ,Thomas G,30,5,20,No,2,2.53,Medium,Diverse,84.93,5566.87,11,No,38,5.48
8,23-05-2017,29-11-2005,20,Young,Non-Binary,Medium,HR,Senior,Merchant navy officer,Active,555,Brenda Hamilton,Manager,3,3,2,50738.16,10187.83,9,10,63,9,9,Job Board,3.65,Active Employee,Still Working ,29-09-2022,Patrick,26,5,4,Yes,2,2.56,Medium,Diverse,91.76,4887.04,36,No,57,9.99
9,31-08-2018,03-04-1995,31,Mid Age,Female,Medium,Marketing,Fresher,Multimedia programmer,On Leave,546,Michael Zimmerman Jr.,Manager,19,13,5,37500.42,4936.22,2,1,2,16,17,Referral,3.83,Active Employee,Still Working ,No Promotion ,Arun S,41,3,8,No,5,3.41,Medium,Non-Diverse,91.18,6198.65,37,No,43,5.91
10,05-04-2021,20-02-1989,37,Mid Age,Non-Binary,Medium,Sales,Fresher,Print production planner,On Leave,342,Mrs. Joyce Wilson,VP,13,13,1,46188.62,19283.99,1,4,8,33,12,Referral,2.47,Active Employee,Still Working ,20-10-2021,Thomas G,25,1,17,Yes,2,4.46,Low,Non-Diverse,55.7,1763.61,23,No,48,1.8
11,03-06-2018,03-10-1959,66,Senior,Female,Medium,HR,Senior,Quantity surveyor,On Leave,546,Collin Tucker,Manager,0,17,3,53739.31,9339.54,6,5,26,5,13,Referral,2.68,Active Employee,Still Working ,No Promotion ,Arun S,30,1,1,Yes,1,4.71,Low,Non-Diverse,55.26,2252.78,6,No,58,4.72
12,20-10-2020,14-08-1963,62,Senior,Female,High,Finance,Senior,Building control surveyor,Terminated,286,Katherine Oliver,Manager,3,16,1,78121.28,11763.16,6,5,71,46,4,Recruiter,1.09,23-11-2021,Retirement,No Promotion ,Arun S,23,5,0,Yes,3,4.91,Medium,Diverse,89.69,1508.34,30,No,32,1.23
13,05-09-2017,25-10-1981,44,Mid Age,Male,High,HR,Mid Level,Firefighter,Active,728,Katherine Chang,Director,11,20,4,104728.46,17538.3,5,10,30,37,2,Referral,4.19,Active Employee,Still Working ,No Promotion ,Thomas G,44,0,10,Yes,3,4.61,Medium,Non-Diverse,61.03,3937.74,51,No,55,7.29
14,14-06-2022,26-02-1984,42,Mid Age,Female,Medium,HR,Mid Level,Museum education officer,On Leave,264,Janet Green,Director,7,6,1,46332.42,6154.17,4,7,47,24,16,Referral,4.19,Active Employee,Still Working ,07-06-2023,Arun S,25,1,4,No,4,3.41,Medium,Non-Diverse,97.64,8585.49,19,No,35,9.01
15,05-05-2020,15-06-1993,32,Mid Age,Non-Binary,Medium,HR,Fresher,Civil Service fast streamer,Active,732,John Reese,Director,1,17,3,67177.18,1736.91,0,0,89,19,9,Job Board,3.76,Active Employee,Still Working ,No Promotion ,Arun S,35,0,19,Yes,3,2.51,Low,Non-Diverse,74.65,4768.7,52,Yes,31,7.75
